epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14981.8,0.62638,0.95569,0.7349,0.77579,0.75,0.81042,0.50982,1.36098,1.15088,1.63048,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,15447.4,0.62188,0.89851,0.72814,0.78563,0.74324,0.81277,0.51476,1.35654,1.13053,1.6258,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,15912.7,0.63694,0.88516,0.73968,0.78959,0.74126,0.81577,0.51777,1.35386,1.11778,1.62268,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,16378.2,0.60844,0.8478,0.71805,0.79849,0.74125,0.82191,0.52223,1.35218,1.10838,1.62047,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,16843.4,0.62622,0.81471,0.73271,0.80799,0.74126,0.82561,0.52719,1.34978,1.0942,1.61727,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,17307.2,0.5897,0.84127,0.71183,0.8199,0.74016,0.83014,0.5287,1.3438,1.08135,1.61233,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,17773.4,0.62063,0.81215,0.74673,0.82164,0.74095,0.83412,0.53255,1.33932,1.07274,1.60926,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,18238.6,0.59647,0.77466,0.71696,0.82511,0.7423,0.83693,0.53615,1.33655,1.06313,1.6059,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,18703.9,0.5998,0.77596,0.72167,0.81868,0.7465,0.83929,0.53861,1.33343,1.0491,1.60358,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,19160.1,0.28354,0.29288,0.39948,0.80739,0.76224,0.84276,0.54396,1.33194,1.04287,1.60157,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,19611.8,0.26635,0.24325,0.3763,0.80881,0.75699,0.84359,0.5458,1.32916,1.02726,1.59608,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,20064,0.27096,0.22273,0.38681,0.82353,0.75175,0.84758,0.55061,1.32839,1.02088,1.59364,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,20515.5,0.2506,0.21738,0.36111,0.78383,0.79871,0.85101,0.55469,1.32864,1.01092,1.59285,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,20967.3,0.25553,0.21791,0.37041,0.79702,0.78846,0.85434,0.55808,1.32673,0.9985,1.59126,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,21418.6,0.24118,0.19718,0.35158,0.79062,0.81119,0.85673,0.55981,1.32793,0.99004,1.59106,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,21870.2,0.2402,0.18229,0.35285,0.79564,0.81643,0.85887,0.56377,1.32701,0.98028,1.58932,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,22321.8,0.23917,0.17126,0.35269,0.79037,0.83053,0.86304,0.56708,1.32739,0.96572,1.58967,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,22773.3,0.23354,0.16679,0.3532,0.79193,0.83175,0.86629,0.57129,1.32569,0.95177,1.58818,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,23224.8,0.23701,0.18828,0.35203,0.78959,0.84632,0.86992,0.57544,1.32078,0.938,1.5839,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
